OMIM:100050	X-linked
OMIM:100100	Recessive
OMIM:100200	Dominant
OMIM:100300	Dominant
OMIM:100600	Dominant
OMIM:100650	Dominant
OMIM:100675	Dominant
OMIM:100700	Dominant
OMIM:100800	Dominant
OMIM:100820	Dominant
OMIM:101000	Dominant
OMIM:101120	Dominant
OMIM:101200	Dominant
OMIM:101400	Dominant
OMIM:101600	Dominant
OMIM:101800	Dominant
OMIM:101805	Dominant
OMIM:101840	Dominant
OMIM:101850	Dominant
OMIM:101900	Dominant
OMIM:102000	Dominant
OMIM:102100	Dominant
OMIM:102150	Dominant
OMIM:102200	Dominant
OMIM:102300	Dominant
OMIM:102350	Dominant
OMIM:102370	Dominant
OMIM:102400	Dominant
OMIM:102500	Dominant
OMIM:102510	Dominant
OMIM:102530	Recessive
OMIM:102650	Dominant
OMIM:102660	Dominant
OMIM:102700	Recessive
OMIM:102730	Dominant
OMIM:102800	Dominant
OMIM:102900	Dominant
OMIM:103050	Recessive
OMIM:103100	Dominant
OMIM:103200	Dominant
OMIM:103230	Dominant
OMIM:103285	Dominant
OMIM:103300	Dominant
OMIM:103400	Dominant
OMIM:103420	Dominant
OMIM:103470	Dominant
OMIM:103500	Dominant
OMIM:103580	Dominant
OMIM:103900	Dominant
OMIM:103920	Dominant
OMIM:104000	Others
OMIM:104100	Dominant
OMIM:104110	Dominant
OMIM:104130	Dominant
OMIM:104200	Dominant
OMIM:104290	Dominant
OMIM:104300	Dominant
OMIM:104350	Dominant
OMIM:104500	Dominant
OMIM:104510	Dominant
OMIM:104530	Dominant
OMIM:104570	Dominant
OMIM:104600	Dominant
OMIM:105120	Dominant
OMIM:105150	Dominant
OMIM:105200	Dominant
OMIM:105210	Dominant
OMIM:105250	Dominant
OMIM:105300	Dominant
OMIM:105400	Dominant
OMIM:105500	Dominant
OMIM:105550	Dominant
OMIM:105563	Dominant
OMIM:105565	Dominant
OMIM:105570	Dominant
OMIM:105580	Dominant
OMIM:105600	Dominant
OMIM:105650	Dominant
OMIM:105800	Dominant
OMIM:105805	Dominant
OMIM:105830	Dominant
OMIM:106050	Dominant
OMIM:106070	Dominant
OMIM:106100	Dominant
OMIM:106190	Recessive
OMIM:106210	Dominant
OMIM:106220	Dominant
OMIM:106230	Dominant
OMIM:106240	Dominant
OMIM:106250	Dominant
OMIM:106260	Dominant
OMIM:106280	Dominant
OMIM:106300	Others
OMIM:106400	Dominant
OMIM:106500	Dominant
OMIM:106600	Dominant
OMIM:106700	Dominant
OMIM:106750	Dominant
OMIM:106900	Dominant
OMIM:106990	Dominant
OMIM:106995	Dominant
OMIM:107000	Dominant
OMIM:107100	Dominant
OMIM:107200	Dominant
OMIM:107250	Dominant
OMIM:107320	Dominant
OMIM:107480	Dominant
OMIM:107500	Dominant
OMIM:107600	Dominant
OMIM:107640	Dominant
OMIM:107650	Dominant
OMIM:107680	Dominant
OMIM:107850	Others
OMIM:107900	Dominant
OMIM:107970	Dominant
OMIM:108000	Dominant
OMIM:108010	Dominant
OMIM:108050	Dominant
OMIM:108100	Dominant
OMIM:108120	Dominant
OMIM:108145	Dominant
OMIM:108200	Dominant
OMIM:108300	Dominant
OMIM:108420	Dominant
OMIM:108500	Dominant
OMIM:108600	Dominant
OMIM:108650	Dominant
OMIM:108700	Dominant
OMIM:108720	Dominant
OMIM:108721	Dominant
OMIM:108725	Dominant
OMIM:108760	Dominant
OMIM:108770	Dominant
OMIM:108900	Dominant
OMIM:108950	Dominant
OMIM:108985	Dominant
OMIM:109000	Dominant
OMIM:109050	Dominant
OMIM:109120	Dominant
OMIM:109130	Dominant
OMIM:109150	Dominant
OMIM:109160	Dominant
OMIM:109200	Others
OMIM:109270	Dominant
OMIM:109300	Dominant
OMIM:109350	Dominant
OMIM:109400	Dominant
OMIM:109500	Dominant
OMIM:109543	Dominant
OMIM:109600	Dominant
OMIM:109720	Dominant
OMIM:109730	Dominant
OMIM:109740	Dominant
OMIM:109800	Dominant
OMIM:109820	Dominant
OMIM:109900	Dominant
OMIM:110000	Dominant
OMIM:110050	Dominant
OMIM:110100	Dominant
OMIM:110150	Dominant
OMIM:110700	Dominant
OMIM:110800	Dominant
OMIM:111400	Dominant
OMIM:112200	Dominant
OMIM:112240	Dominant
OMIM:112250	Dominant
OMIM:112270	Dominant
OMIM:112300	Dominant
OMIM:112310	Dominant
OMIM:112350	Dominant
OMIM:112370	Dominant
OMIM:112410	Dominant
OMIM:112430	Dominant
OMIM:112440	Dominant
OMIM:112450	Dominant
OMIM:112500	Dominant
OMIM:112600	Dominant
OMIM:112700	Dominant
OMIM:112800	Dominant
OMIM:112910	Dominant
OMIM:113000	Dominant
OMIM:113100	Dominant
OMIM:113200	Dominant
OMIM:113300	Dominant
OMIM:113301	Dominant
OMIM:113310	Dominant
OMIM:113450	Dominant
OMIM:113470	Others
OMIM:113475	Dominant
OMIM:113477	Dominant
OMIM:113480	Dominant
OMIM:113500	Dominant
OMIM:113600	Dominant
OMIM:113610	Dominant
OMIM:113620	Dominant
OMIM:113650	Dominant
OMIM:113670	Others
OMIM:113700	Dominant
OMIM:113750	Dominant
OMIM:113800	Dominant
OMIM:113900	Dominant
OMIM:113950	Dominant
OMIM:113970	Others
OMIM:114000	Dominant
OMIM:114030	Dominant
OMIM:114065	Dominant
OMIM:114100	Dominant
OMIM:114140	Dominant
OMIM:114150	Dominant
OMIM:114200	Dominant
OMIM:114290	Dominant
OMIM:114300	Dominant
OMIM:114450	Dominant
OMIM:114480	Dominant
OMIM:114550	Dominant
OMIM:114580	Dominant
OMIM:114600	Dominant
OMIM:114620	Others
OMIM:114650	Dominant
OMIM:114835	Dominant
OMIM:114900	Dominant
OMIM:115000	Dominant
OMIM:115080	Dominant
OMIM:115150	Dominant
OMIM:115195	Dominant
OMIM:115196	Dominant
OMIM:115197	Dominant
OMIM:115200	Dominant
OMIM:115210	Dominant
OMIM:115250	Dominant
OMIM:115300	Dominant
OMIM:115310	Dominant
OMIM:115400	Dominant
OMIM:115430	Dominant
OMIM:115470	Dominant
OMIM:115645	Dominant
OMIM:115650	Dominant
OMIM:115660	Dominant
OMIM:115665	Dominant
OMIM:115700	Dominant
OMIM:115800	Dominant
OMIM:115900	Dominant
OMIM:116100	Dominant
OMIM:116200	Dominant
OMIM:116300	Dominant
OMIM:116400	Dominant
OMIM:116600	Dominant
OMIM:116700	Dominant
OMIM:116790	Recessive
OMIM:116800	Dominant
OMIM:116850	Dominant
OMIM:116860	Dominant
OMIM:116870	Dominant
OMIM:116920	Recessive
OMIM:117000	Dominant
OMIM:117100	Others
OMIM:117210	Dominant
OMIM:117300	Dominant
OMIM:117360	Dominant
OMIM:117550	Dominant
OMIM:117600	Dominant
OMIM:117650	Dominant
OMIM:117800	Dominant
OMIM:117850	Dominant
OMIM:117900	Dominant
OMIM:118000	Dominant
OMIM:118005	Dominant
OMIM:118100	Dominant
OMIM:118200	Dominant
OMIM:118210	Dominant
OMIM:118220	Dominant
OMIM:118230	Dominant
OMIM:118300	Dominant
OMIM:118301	Dominant
OMIM:118330	Dominant
OMIM:118350	Dominant
OMIM:118400	Dominant
OMIM:118420	Dominant
OMIM:118430	Dominant
OMIM:118450	Dominant
OMIM:118600	Dominant
OMIM:118610	Dominant
OMIM:118650	Dominant
OMIM:118651	Dominant
OMIM:118700	Dominant
OMIM:118750	Dominant
OMIM:118800	Dominant
OMIM:118830	Dominant
OMIM:118865	Dominant
OMIM:118980	Dominant
OMIM:119000	Dominant
OMIM:119100	Dominant
OMIM:119300	Dominant
OMIM:119500	Dominant
OMIM:119530	Dominant
OMIM:119540	Dominant
OMIM:119550	Dominant
OMIM:119570	Dominant
OMIM:119580	Dominant
OMIM:119600	Dominant
OMIM:119650	Dominant
OMIM:119800	Dominant
OMIM:119900	Dominant
OMIM:119915	Dominant
OMIM:120040	Dominant
OMIM:120100	Dominant
