chr	pos	prob	cdf
chr2	5167107	0.0	0.0
chr2	5196902	1.4715198338933734e-10	1.4715198338933734e-10
chr2	5212012	5.666496986433807e-09	5.813648969823144e-09
chr2	5217992	5.817445895861853e-09	1.1631094865684997e-08
chr2	5219219	5.899953388543361e-09	1.7531048254228358e-08
chr2	5224268	5.9979606035047916e-09	2.352900885773315e-08
chr2	5226371	6.0825324251542155e-09	2.961154128288737e-08
chr2	5226543	6.147553543208122e-09	3.575909482609549e-08
chr2	5232834	9.941305780592913e-09	4.57004006066884e-08
chr2	5238812	1.3606577955451593e-08	5.9306978562139996e-08
chr2	5239929	1.3693630805813596e-08	7.300060936795359e-08
chr2	5240144	1.3727066750833676e-08	8.672767611878726e-08
chr2	5241229	1.3802723769426232e-08	1.005303998882135e-07
chr2	5241766	1.3862075980789706e-08	1.1439247586900321e-07
chr2	5249937	1.3998172735165375e-08	1.2839064860416859e-07
chr2	5256274	1.4086117526407998e-08	1.4247676613057657e-07
chr2	5256677	1.4120376007543438e-08	1.5659714213812002e-07
chr2	5256734	1.4133912057092273e-08	1.707310541952123e-07
chr2	5257356	1.4417915989740583e-08	1.8514897018495288e-07
chr2	5260481	2.0532072850920244e-08	2.0568104303587311e-07
chr2	5261410	2.6805218493166204e-08	2.324862615290393e-07
chr2	5266006	3.5952087172688235e-08	2.6843834870172755e-07
chr2	5266939	3.6033655669777945e-08	3.0447200437150546e-07
chr2	5268671	3.6168001170958076e-08	3.4064000554246354e-07
chr2	5269417	3.625117119404031e-08	3.7689117673650384e-07
chr2	5271928	4.973358617200551e-08	4.2662476290850934e-07
chr2	5283993	1.216488859697733e-07	5.482736488782827e-07
chr2	5287827	1.2287168747042287e-07	6.711453363487055e-07
chr2	5288644	1.2328651803451665e-07	7.944318543832222e-07
chr2	5291533	1.239020650291035e-07	9.183339194123257e-07
chr2	5292766	1.2439683836294027e-07	1.0427307577752658e-06
chr2	5293525	1.2448981188647805e-07	1.1672205696617438e-06
chr2	5293622	1.245235347565355e-07	1.2917441044182794e-06
chr2	5294800	1.2465500781787246e-07	1.4163991122361518e-06
chr2	5300664	1.2491414986403953e-07	1.5413132621001913e-06
chr2	5303171	1.2514101246817926e-07	1.6664542745683705e-06
chr2	5304015	1.3039519178758347e-07	1.796849466355954e-06
chr2	5325906	1.3080750279348904e-07	1.927656969149443e-06
chr2	5336076	1.3109905350536316e-07	2.0587560226548065e-06
chr2	5340502	1.3136258390774187e-07	2.1901186065625484e-06
chr2	5345278	1.6023238843171425e-07	2.350350994994263e-06
chr2	5345732	1.976566892755545e-07	2.548007684269817e-06
chr2	5349911	2.298148869168009e-07	2.777822571186618e-06
chr2	5355848	2.32174840689128e-07	3.009997411875746e-06
chr2	5357276	2.3325498846308232e-07	3.2432524003388285e-06
chr2	5361397	2.3525124297854558e-07	3.478503643317374e-06
chr2	5367950	2.3547844857918906e-07	3.713982091896563e-06
chr2	5369086	2.355845320005639e-07	3.949566623897127e-06
chr2	5371547	2.3573938604903602e-07	4.185306009946163e-06
chr2	5372402	2.3584059179965874e-07	4.4211466017458225e-06
chr2	5389987	2.362766187155877e-07	4.657423220461411e-06
chr2	5391814	2.3680529898707108e-07	4.894228519448481e-06
chr2	5393330	2.558225059228431e-07	5.1500510253713246e-06
chr2	5395873	2.5624964707248487e-07	5.40630067244381e-06
chr2	5407073	2.5663582768142054e-07	5.662936500125231e-06
chr2	5411779	2.569021202359901e-07	5.919838620361221e-06
chr2	5422373	2.572193073135642e-07	6.1770579276747855e-06
chr2	5423290	2.573295068271688e-07	6.434387434501954e-06
chr2	5426351	2.575326849435656e-07	6.69192011944552e-06
chr2	5434679	2.578043618446373e-07	6.949724481290157e-06
chr2	5436975	2.5797826739896533e-07	7.207702748689122e-06
chr2	5437543	2.580548529550388e-07	7.465757601644161e-06
chr2	5439411	2.582154070808964e-07	7.723973008725058e-06
chr2	5441295	2.5840412062494223e-07	7.98237712935e-06
chr2	5442171	2.585469811853652e-07	8.240924110535365e-06
chr2	5449866	2.589347052376274e-07	8.499858815772993e-06
chr2	5451051	2.5911508896254863e-07	8.758973904735542e-06
chr2	5451280	2.591874850884332e-07	9.018161389823976e-06
chr2	5455479	2.594483384595866e-07	9.277609728283562e-06
chr2	5460490	2.59959141797501e-07	9.537568870081063e-06
chr2	5463285	2.6735115117636053e-07	9.804920021257425e-06
chr2	5464026	2.697741285501836e-07	1.0074694149807608e-05
chr2	5464044	2.6980262880256684e-07	1.0344496778610174e-05
chr2	5464761	2.718011147886369e-07	1.0616297893398811e-05
chr2	5464904	2.721204719673468e-07	1.0888418365366157e-05
chr2	5465154	2.722903122505873e-07	1.1160708677616744e-05
chr2	5467033	2.7283626700217434e-07	1.1433544944618919e-05
chr2	5467135	2.729247844652471e-07	1.1706469729084166e-05
chr2	5467894	2.7328378299757037e-07	1.1979753512081735e-05
chr2	5469833	2.738201885031895e-07	1.2253573700584925e-05
chr2	5471107	2.7426398096985977e-07	1.2527837681554785e-05
chr2	5487097	2.789635635220669e-07	1.2806801245076852e-05
chr2	5487627	2.811366511538284e-07	1.3087937896230681e-05
chr2	5488174	2.8731110841725504e-07	1.3375249004647935e-05
chr2	5488456	2.935103443876429e-07	1.3668759349035577e-05
chr2	5488519	2.9370300163000645e-07	1.3962462350665584e-05
chr2	5494048	3.4060137693888465e-07	1.4303063727604469e-05
chr2	5495567	3.40769018706281e-07	1.464383274631075e-05
chr2	5495963	3.4084897012204565e-07	1.4984681716432795e-05
chr2	5498227	3.420735060765021e-07	1.5326755222509298e-05
chr2	5500302	3.4328053189486993e-07	1.567003575440417e-05
chr2	5503200	3.524763684601592e-07	1.602251212286433e-05
chr2	5508545	3.5283182368403137e-07	1.637534394654836e-05
chr2	5510754	3.5308386105463745e-07	1.6728427807603e-05
chr2	5513490	3.610494845406387e-07	1.708947729214364e-05
chr2	5515545	3.7987658045454495e-07	1.7469353872598184e-05
chr2	5517283	3.8022059233501564e-07	1.78495744649332e-05
chr2	5517523	3.8032190842873027e-07	1.822989637336193e-05
chr2	5521627	3.808453364247966e-07	1.861074170978673e-05
chr2	5529462	4.229963087603646e-07	1.9033738018547092e-05
chr2	5531532	4.343437941030117e-07	1.9468081812650103e-05
chr2	5535233	4.345072203580718e-07	1.9902589033008174e-05
chr2	5540419	4.346403364231264e-07	2.03372293694313e-05
chr2	5542127	4.3479032570105545e-07	2.0772019695132356e-05
chr2	5546290	4.349837503107612e-07	2.1207003445443118e-05
chr2	5546998	4.45570656244911e-07	2.165257410168803e-05
chr2	5554540	4.614948973760904e-07	2.2114068999064117e-05
chr2	5559013	4.6231559815336897e-07	2.2576384597217485e-05
chr2	5560403	4.6261690552886714e-07	2.3039001502746353e-05
chr2	5571360	5.654125204328765e-07	2.360441402317923e-05
chr2	5573939	5.655682454632253e-07	2.4169982268642457e-05
chr2	5575768	5.65657002105114e-07	2.473563927074757e-05
chr2	5576475	5.667723716227789e-07	2.530241164237035e-05
chr2	5578212	5.679899495983295e-07	2.587040159196868e-05
chr2	5579420	5.692877174485107e-07	2.643968930941719e-05
chr2	5583563	5.707887493049584e-07	2.7010478058722146e-05
chr2	5586877	5.72197024592047e-07	2.7582675083314192e-05
chr2	5588753	5.72786187288769e-07	2.8155461270602962e-05
chr2	5590257	5.732748590203032e-07	2.8728736129623265e-05
chr2	5591550	5.733915065774881e-07	2.9302127636200754e-05
chr2	5593978	5.866323206583709e-07	2.9888759956859126e-05
chr2	5594768	5.978855407201926e-07	3.0486645497579317e-05
chr2	5600812	6.116105320216789e-07	3.1098256029600996e-05
chr2	5602284	6.121255784326218e-07	3.171038160803362e-05
chr2	5603942	6.126826584033154e-07	3.2323064266436935e-05
chr2	5610080	6.207088107784181e-07	3.2943773077215355e-05
chr2	5610728	6.208827501779407e-07	3.356465582739329e-05
chr2	5611610	6.257437688062406e-07	3.419039959619954e-05
chr2	5611779	6.257738254151564e-07	3.4816173421614695e-05
chr2	5611872	6.258004778454346e-07	3.544197389946013e-05
chr2	5612893	6.27199787465287e-07	3.6069173686925414e-05
chr2	5614214	6.288172796719089e-07	3.6697990966597326e-05
chr2	5615785	6.331354850485278e-07	3.733112645164585e-05
chr2	5617681	6.334069149455559e-07	3.796453336659141e-05
chr2	5620952	6.451195924328555e-07	3.860965295902427e-05
chr2	5621601	6.451955266337125e-07	3.925484848565798e-05
chr2	5621715	6.452448934171689e-07	3.990009337907515e-05
chr2	5623047	6.454042855928505e-07	4.0545497664668e-05
chr2	5623567	6.489375316499286e-07	4.1194435196317926e-05
chr2	5625500	6.551452398654947e-07	4.184958043618342e-05
chr2	5633637	6.590361637834484e-07	4.250861659996687e-05
chr2	5634436	6.603464504308418e-07	4.316896305039771e-05
chr2	5635976	6.649648033374951e-07	4.383392785373521e-05
chr2	5636444	6.664820736671618e-07	4.450040992740237e-05
chr2	5643937	6.677167516559107e-07	4.516812667905828e-05
chr2	5645041	6.678351211389958e-07	4.5835961800197276e-05
chr2	5645610	6.678912905554961e-07	4.6503853090752775e-05
chr2	5646522	6.680201101368822e-07	4.717187320088966e-05
chr2	5650768	6.709597979102349e-07	4.7842832998799896e-05
chr2	5651525	6.793949133754451e-07	4.852222791217534e-05
chr2	5651571	6.796776288941288e-07	4.920190554106947e-05
chr2	5656809	6.843727193601643e-07	4.9886278260429634e-05
chr2	5662812	6.859628293665619e-07	5.0572241089796194e-05
chr2	5666520	6.861659002593523e-07	5.1258406990055545e-05
chr2	5672063	6.864291338558055e-07	5.194483612391135e-05
chr2	5679036	6.885232086580659e-07	5.263335933256941e-05
chr2	5680539	7.062563098988989e-07	5.333961564246831e-05
chr2	5688981	7.064486889821022e-07	5.4046064331450415e-05
chr2	5689487	7.072869224090416e-07	5.4753351253859456e-05
chr2	5689697	7.077669459574864e-07	5.546111819981694e-05
chr2	5693857	7.108850724439424e-07	5.6172003272260884e-05
chr2	5700470	7.112142836148086e-07	5.688321755587569e-05
chr2	5703784	7.135663325757218e-07	5.759678388845141e-05
chr2	5705051	7.13930951994915e-07	5.8310714840446326e-05
chr2	5708764	7.204338835917621e-07	5.903114872403809e-05
chr2	5712665	7.256064092906149e-07	5.9756755133328705e-05
chr2	5713005	7.256626769811394e-07	6.048241781030984e-05
chr2	5717419	7.258163585239981e-07	6.120823416883385e-05
chr2	5723564	7.259550892459991e-07	6.193418925807985e-05
chr2	5725248	7.260455118624784e-07	6.266023476994232e-05
chr2	5726761	7.261271263205245e-07	6.338636189626285e-05
chr2	5729629	7.292657777364415e-07	6.41156276739993e-05
chr2	5730428	7.310096817200621e-07	6.484663735571936e-05
chr2	5730429	7.310103517494965e-07	6.557764770746885e-05
chr2	5732344	7.310872298301733e-07	6.630873493729902e-05
chr2	5733323	7.311471538984265e-07	6.703988209119745e-05
chr2	5747177	7.31341214441422e-07	6.777122330563887e-05
chr2	5747267	7.313677038766955e-07	6.850259100951557e-05
chr2	5753137	7.33634875998092e-07	6.923622588551366e-05
chr2	5754189	7.351488279761563e-07	6.997137471348982e-05
chr2	5754603	7.352418416630273e-07	7.070661655515285e-05
chr2	5755801	7.356404905814512e-07	7.14422570457343e-05
chr2	5798242	8.017905709107474e-07	7.224404761664505e-05
chr2	5801257	8.025246659921055e-07	7.304657228263715e-05
chr2	5802276	8.029178973621092e-07	7.384949017999926e-05
chr2	5802628	8.031286187560811e-07	7.465261879875534e-05
chr2	5804497	8.033840385185753e-07	7.54560028372739e-05
chr2	5806854	8.03758847212606e-07	7.625976168448651e-05
chr2	5810433	8.040974306554173e-07	7.706385911514193e-05
chr2	5819725	8.67316889646232e-07	7.793117600478816e-05
chr2	5821748	8.677945634134321e-07	7.879897056820159e-05
chr2	5828702	8.679969926481169e-07	7.96669675608497e-05
chr2	5829114	8.680645326456728e-07	8.053503209349537e-05
chr2	5830599	8.730411313959685e-07	8.140807322489134e-05
chr2	5838030	8.763459667399394e-07	8.228441919163128e-05
chr2	5839686	8.780515041755228e-07	8.31624706958068e-05
chr2	5840461	8.784387402797594e-07	8.404090943608655e-05
chr2	5847365	8.81424077881497e-07	8.492233351396805e-05
chr2	5847617	8.85983055419627e-07	8.580831656938768e-05
chr2	5847675	8.867799779721619e-07	8.669509654735984e-05
chr2	5850764	8.86979039183061e-07	8.75820755865429e-05
chr2	5855300	8.871718107097744e-07	8.846924739725268e-05
chr2	5859603	8.889716300540121e-07	8.935821902730669e-05
chr2	5859691	8.891002933179506e-07	9.024731932062463e-05
chr2	5860471	8.896589733020179e-07	9.113697829392665e-05
chr2	5863154	8.906311606215469e-07	9.20276094545482e-05
chr2	5863289	8.906734518879852e-07	9.291828290643617e-05
chr2	5867787	8.90861709043766e-07	9.380914461547993e-05
chr2	5869348	8.913406154736343e-07	9.470048523095357e-05
chr2	5869890	9.018654279764601e-07	9.560235065893003e-05
chr2	5875648	9.040197049401149e-07	9.650637036387015e-05
chr2	5876302	9.048264501457079e-07	9.741119681401586e-05
chr2	5878277	9.049182435646792e-07	9.831611505758054e-05
chr2	5880342	9.053396373005892e-07	9.922145469488113e-05
chr2	5886329	9.13786316297963e-07	0.00010013524101117909
chr2	5890171	9.140000975047651e-07	0.00010104924110868385
chr2	5891097	9.141064444576487e-07	0.0001019633475531415
chr2	5891437	9.141611342074944e-07	0.000102877508687349
chr2	5892202	9.142576674449714e-07	0.00010379176635479396
chr2	5892291	9.142884000234926e-07	0.00010470605475481746
chr2	5892564	9.143579953639023e-07	0.00010562041275018136
chr2	5893301	9.201658188086924e-07	0.00010654057856899005
chr2	5897411	9.313273601381191e-07	0.00010747190592912817
chr2	5897864	9.31408720459832e-07	0.000108403314649588
chr2	5898727	9.315149223895529e-07	0.00010933482957197755
chr2	5903697	9.363894909519636e-07	0.00011027121906292951
chr2	5904390	9.36467712965629e-07	0.00011120768677589514
chr2	5907263	9.366219707763681e-07	0.00011214430874667151
chr2	5908151	9.366766935121924e-07	0.00011308098544018371
chr2	5917248	9.369040991987143e-07	0.00011401788953938242
chr2	5918209	9.375829213884993e-07	0.00011495547246077092
chr2	5921095	9.387182165859535e-07	0.00011589419067735688
chr2	5925857	9.401208187247556e-07	0.00011683431149608163
chr2	5926919	9.402093821004496e-07	0.00011777452087818207
chr2	5928093	9.403061750010315e-07	0.0001187148270531831
chr2	5931302	9.404803341904116e-07	0.00011965530738737351
chr2	5942145	9.436253994616005e-07	0.0001205989327868351
chr2	5943231	9.447314883762695e-07	0.00012154366427521137
chr2	5944086	9.451059937569477e-07	0.00012248877026896832
chr2	5945721	9.5225209652814e-07	0.00012344102236549646
chr2	5946313	9.523321881484056e-07	0.00012439335455364487
chr2	5950557	9.525196119541256e-07	0.000125345874165599
chr2	5958708	9.5274461810284e-07	0.00012629861878370183
chr2	5958997	9.527749431425206e-07	0.00012725139372684433
chr2	5959288	9.528061192094782e-07	0.0001282041998460538
chr2	5961696	9.532532108494631e-07	0.00012915745305690327
chr2	5965388	9.538164601610278e-07	0.0001301112695170643
chr2	5966207	9.54174043001422e-07	0.00013106544356006572
chr2	5968922	9.548558991597084e-07	0.00013202029945922543
chr2	5973066	9.572740417009673e-07	0.0001329775735009264
chr2	5973504	9.580368110595542e-07	0.00013393561031198596
chr2	5977648	9.615395705160186e-07	0.00013489714988250198
chr2	5978992	9.616361459511174e-07	0.00013585878602845309
chr2	5979192	9.616763415169494e-07	0.00013682046236997004
chr2	5979944	9.618057147008423e-07	0.00013778226808467087
chr2	5983436	9.716087507656004e-07	0.00013875387683543646
chr2	5985923	9.747656259384192e-07	0.00013972864246137489
chr2	5987178	9.751075374229105e-07	0.0001407037499987978
chr2	5988639	9.841354395125646e-07	0.00014168788543831036
chr2	5989380	9.84561558109416e-07	0.00014267244699641977
chr2	5989536	9.846817735006004e-07	0.00014365712876992037
chr2	5991750	1.0392170199234372e-06	0.00014469634578984382
chr2	5991798	1.039259968696012e-06	0.00014573560575853982
chr2	5991969	1.0394412295035656e-06	0.0001467750469880434
chr2	5992517	1.06487835261131e-06	0.00014783992534065472
chr2	5994603	1.0662324679704998e-06	0.00014890615780862522
chr2	6002082	1.066705184065293e-06	0.0001499728629926905
chr2	6002657	1.0668454907760263e-06	0.00015103970848346653
chr2	6003646	1.066980570127764e-06	0.0001521066890535943
chr2	6003766	1.0670214490991688e-06	0.00015317371050269346
chr2	6005793	1.0687378878039964e-06	0.00015424244839049744
chr2	6008030	1.069786504750025e-06	0.00015531223489524747
chr2	6008310	1.0700687414592807e-06	0.00015638230363670676
chr2	6010700	1.0907096136289836e-06	0.00015747301325033574
chr2	6013787	1.0937223109881146e-06	0.00015856673556132386
chr2	6016600	1.0939577873669894e-06	0.00015966069334869085
chr2	6020296	1.0940799478751623e-06	0.000160754773296566
chr2	6021463	1.0941695293911977e-06	0.0001618489428259572
chr2	6024159	1.0942852046231195e-06	0.00016294322803058031
chr2	6029084	1.0944363473985443e-06	0.00016403766437797886
chr2	6037363	1.09461256366979e-06	0.00016513227694164864
chr2	6038606	1.094698106580937e-06	0.00016622697504822958
chr2	6039177	1.0947541009655263e-06	0.0001673217291491951
chr2	6040913	1.0962335891853615e-06	0.00016841796273838047
chr2	6041853	1.0971934212171278e-06	0.0001695151561595976
chr2	6045544	1.0972986299290849e-06	0.00017061245478952668
chr2	6046983	1.097379996890115e-06	0.00017170983478641678
chr2	6047504	1.097447754663402e-06	0.0001728072825410802
chr2	6047944	1.0975046031086529e-06	0.00017390478714418884
chr2	6049411	1.1105470283096711e-06	0.0001750153341724985
chr2	6052307	1.1169782477460709e-06	0.00017613231242024458
chr2	6052751	1.1294773219042015e-06	0.00017726178974214877
chr2	6057847	1.1332759861713206e-06	0.0001783950657283201
chr2	6060989	1.1334640704902908e-06	0.00017952852979881038
chr2	6066695	1.1337494098821103e-06	0.0001806622792086925
chr2	6066942	1.1340351455732911e-06	0.00018179631435426578
