chr	pos	prob	cdf
chr7	5198328	0.0	0.0
chr7	5207070	1.0517002197540205e-08	1.0517002197540205e-08
chr7	5215853	2.106604141015689e-08	3.1583043607697094e-08
chr7	5220675	2.207411164174233e-08	5.365715524943942e-08
chr7	5222956	2.2464577362950773e-08	7.612173261239019e-08
chr7	5224407	2.572567421546921e-08	1.0184740682785939e-07
chr7	5231628	2.9950721992498225e-08	1.3179812882035762e-07
chr7	5240541	3.071491429390768e-08	1.625130431142653e-07
chr7	5252906	3.107091574742663e-08	1.935839588616919e-07
chr7	5254575	3.1253667127304684e-08	2.248376259889966e-07
chr7	5255294	3.1859362140885776e-08	2.566969881298824e-07
chr7	5263194	3.360296351653977e-08	2.9029995164642217e-07
chr7	5267524	3.524636023428886e-08	3.2554631188071104e-07
chr7	5268516	3.655880275245041e-08	3.6210511463316143e-07
chr7	5272927	3.7035282904082586e-08	3.99140397537244e-07
chr7	5273121	3.719736251086633e-08	4.3633776004811034e-07
chr7	5273464	3.784753682268446e-08	4.741852968707948e-07
chr7	5277068	6.185971404137996e-08	5.360450109121747e-07
chr7	5278439	6.490809514168664e-08	6.009531060538613e-07
chr7	5279887	7.130186465840839e-08	6.722549707122697e-07
chr7	5283411	7.624499491675793e-08	7.484999656290276e-07
chr7	5292732	7.768325436929186e-08	8.261832199983195e-07
chr7	5303440	1.5437613591625366e-07	9.805593559145733e-07
chr7	5319387	1.9458563610112766e-07	1.175144992015701e-06
chr7	5328429	2.1271547456457891e-07	1.3878604665802799e-06
chr7	5334209	2.1433254068961388e-07	1.6021930072698937e-06
chr7	5338475	2.153213089594192e-07	1.817514316229313e-06
chr7	5359680	3.0964450464280943e-07	2.1271588208721223e-06
chr7	5366935	3.126567801744432e-07	2.4398156010465657e-06
chr7	5373370	3.1569229627651005e-07	2.7555078973230756e-06
chr7	5375542	3.277497144357191e-07	3.083257611758795e-06
chr7	5376032	3.3523937924180265e-07	3.4184969910005973e-06
chr7	5377878	3.363959020321424e-07	3.7548928930327397e-06
chr7	5394951	3.3935183745625824e-07	4.094244730488998e-06
chr7	5396955	3.6262347078400066e-07	4.4568682012729985e-06
chr7	5402606	3.757518381106952e-07	4.832620039383694e-06
chr7	5406479	3.8223472890119705e-07	5.214854768284891e-06
chr7	5406582	3.825443248413692e-07	5.59739909312626e-06
chr7	5409059	4.268443124862947e-07	6.024243405612555e-06
chr7	5411296	4.3124937430891626e-07	6.4554927799214715e-06
chr7	5411356	4.3130717705707455e-07	6.886799956978546e-06
chr7	5414602	4.3292084407211144e-07	7.319720801050658e-06
chr7	5416248	7.050160291773648e-07	8.024736830228022e-06
chr7	5427128	7.300849979772781e-07	8.7548218282053e-06
chr7	5432672	7.32235925091138e-07	9.487057753296438e-06
chr7	5436368	7.333751472182316e-07	1.0220432900514669e-05
chr7	5441337	7.368090974056151e-07	1.0957241997920284e-05
chr7	5452756	7.645133095453086e-07	1.1721755307465593e-05
chr7	5473107	9.218831360221052e-07	1.2643638443487697e-05
chr7	5475409	9.22778649520525e-07	1.3566417093008222e-05
chr7	5477922	9.233972404420132e-07	1.4489814333450235e-05
chr7	5480451	9.802319685433395e-07	1.5470046301993573e-05
chr7	5481120	9.805028733690623e-07	1.6450549175362636e-05
chr7	5483042	9.85551632602526e-07	1.7436100807965163e-05
chr7	5483442	9.870110966075745e-07	1.8423111904572736e-05
chr7	5485083	9.873510763658836e-07	1.941046298093862e-05
chr7	5486082	9.876796778731319e-07	2.0398142658811752e-05
chr7	5490606	1.0008302652055211e-06	2.1398972924017274e-05
chr7	5494677	1.0561435229213775e-06	2.245511644693865e-05
chr7	5502964	1.0860026588493015e-06	2.3541119105787953e-05
chr7	5506499	1.1085251733896877e-06	2.464964427917764e-05
chr7	5508644	1.1094343993409406e-06	2.575907867851858e-05
chr7	5509098	1.1097312035784894e-06	2.686880988209707e-05
chr7	5510159	1.1100361113881077e-06	2.7978845993485178e-05
chr7	5512271	1.1119851127295064e-06	2.9090831106214683e-05
chr7	5516293	1.1269415117999416e-06	3.0217772618014626e-05
chr7	5516940	1.12738273050344e-06	3.1345155348518065e-05
chr7	5519542	1.1277536582171802e-06	3.2472909006735243e-05
chr7	5520663	1.1281313389985862e-06	3.360104034573383e-05
chr7	5521468	1.1289766378144384e-06	3.473001698354827e-05
chr7	5524805	1.1679063065702862e-06	3.589792329011855e-05
chr7	5528375	1.1682588428374097e-06	3.706618213295596e-05
chr7	5528883	1.1683593812491914e-06	3.8234541514205154e-05
chr7	5530954	1.1694673403328004e-06	3.940400885453796e-05
chr7	5534598	1.1712711455900702e-06	4.057528000012803e-05
chr7	5539958	1.1743058555527477e-06	4.174958585568078e-05
chr7	5541657	1.1823751449729437e-06	4.293196100065372e-05
chr7	5545427	1.182923629686735e-06	4.4114884630340455e-05
chr7	5562740	1.2091163508836356e-06	4.532400098122409e-05
chr7	5568366	1.2096231882499722e-06	4.6533624169474064e-05
chr7	5571625	1.209973980166195e-06	4.774359814964026e-05
chr7	5572132	1.2101909280127449e-06	4.8953789077653e-05
chr7	5572226	1.2148102291019785e-06	5.016859930675498e-05
chr7	5578489	1.2553033455814718e-06	5.142390265233645e-05
chr7	5578519	1.2553488066100328e-06	5.267925145894648e-05
chr7	5583056	1.2851803054319769e-06	5.3964431764378455e-05
chr7	5584934	1.2864316623510102e-06	5.525086342672947e-05
chr7	5592436	1.2878249080192828e-06	5.653868833474875e-05
chr7	5596849	1.2963404137103986e-06	5.783502874845915e-05
chr7	5607884	1.3021342419249649e-06	5.9137162990384115e-05
chr7	5607908	1.3021718395074515e-06	6.0439334829891564e-05
chr7	5608932	1.303541126137702e-06	6.174287595602926e-05
chr7	5618237	1.3089696195492876e-06	6.305184557557855e-05
chr7	5619078	1.3092236509420892e-06	6.436106922652064e-05
chr7	5626564	1.3386525740721123e-06	6.569972180059275e-05
chr7	5642746	1.352658442579968e-06	6.705238024317272e-05
chr7	5644693	1.355080270285841e-06	6.840746051345855e-05
chr7	5660686	1.35564548897419e-06	6.976310600243275e-05
chr7	5686742	1.3562420536908577e-06	7.11193480561236e-05
chr7	5697579	1.3566152611971396e-06	7.247596331732074e-05
chr7	5697802	1.35667807959476e-06	7.38326413969155e-05
