chr	pos	prob	cdf
chr3	5069843	0.0	0.0
chr3	5077330	3.49844840756789e-09	3.49844840756789e-09
chr3	5078255	1.0355811621655608e-08	1.3854260029223498e-08
chr3	5082256	1.0624352659564594e-08	2.4478612688788094e-08
chr3	5082955	1.0749428959510422e-08	3.5228041648298516e-08
chr3	5085165	1.0809797031336557e-08	4.603783867963507e-08
chr3	5085555	1.0838159646385153e-08	5.687599832602022e-08
chr3	5092475	1.6068819084576083e-08	7.29448174105963e-08
chr3	5093704	1.612163509327157e-08	8.906645250386787e-08
chr3	5093821	1.6137938790150902e-08	1.0520439129401878e-07
chr3	5093858	1.6147841848139658e-08	1.2135223314215842e-07
chr3	5097993	2.1431364979095408e-08	1.4278359812125384e-07
chr3	5098705	2.147768166032127e-08	1.642612797815751e-07
chr3	5099122	2.1507492698459692e-08	1.857687724800348e-07
chr3	5100291	2.1554574438187925e-08	2.0732334691822273e-07
chr3	5102235	2.7895649407410206e-08	2.3521899632563294e-07
chr3	5103712	2.7950890762750573e-08	2.631698870883835e-07
chr3	5107167	2.80854478135015e-08	2.91255334901885e-07
chr3	5115253	1.685299742366568e-07	4.5978530913854176e-07
chr3	5115389	1.6857603810929924e-07	6.283613472478411e-07
chr3	5118220	1.6868586145610012e-07	7.970472087039412e-07
chr3	5122629	1.688126628667594e-07	9.658598715707007e-07
chr3	5126013	1.6892172644341602e-07	1.1347815980141167e-06
chr3	5126391	1.6898050597657348e-07	1.3037621039906901e-06
chr3	5129769	1.6903947902712967e-07	1.47280158301782e-06
chr3	5131363	1.6909645376746982e-07	1.6418980367852897e-06
chr3	5131948	1.6912948155529445e-07	1.811027518340584e-06
chr3	5132540	1.6916359462820606e-07	1.98019111296879e-06
chr3	5134494	1.6921104921185137e-07	2.1494021621806418e-06
chr3	5135111	1.692571494619537e-07	2.3186593116425954e-06
chr3	5135571	1.6929993664469562e-07	2.487959248287291e-06
chr3	5136564	1.6940540931598456e-07	2.6573646576032753e-06
chr3	5140364	1.883183693493923e-07	2.8456830269526675e-06
chr3	5147044	1.979315786919039e-07	3.0436146056445712e-06
chr3	5164769	2.500016277532033e-07	3.2936162333977743e-06
chr3	5167618	2.5975943135269863e-07	3.553375664750473e-06
chr3	5174332	2.5993744281908946e-07	3.8133131075695625e-06
chr3	5175922	2.6002076036698806e-07	4.0733338679365505e-06
chr3	5182427	2.602786379634239e-07	4.3336125058999745e-06
chr3	5191756	2.605701086069758e-07	4.59418261450695e-06
chr3	5193135	2.6069992757187556e-07	4.854882542078825e-06
chr3	5203776	2.6095628758048704e-07	5.115838829659312e-06
chr3	5232074	2.755773498828282e-07	5.39141617954214e-06
chr3	5234726	2.7567560225144896e-07	5.6670917817935895e-06
chr3	5245146	2.758561819458773e-07	5.9429479637394665e-06
chr3	5256169	2.7612473017362187e-07	6.219072693913088e-06
chr3	5258431	2.7653728209669945e-07	6.495609976009787e-06
chr3	5260299	2.791109757310275e-07	6.774720951740815e-06
chr3	5265017	2.9314363434064514e-07	7.06786458608146e-06
chr3	5266004	2.999078959134987e-07	7.367772481994958e-06
chr3	5267251	3.0021441416091004e-07	7.667986896155868e-06
chr3	5268162	3.0034447577209354e-07	7.968331371927962e-06
chr3	5269637	3.0278017835503076e-07	8.271111550282992e-06
chr3	5273528	3.0961273974870805e-07	8.5807242900317e-06
chr3	5277162	3.3754920786688045e-07	8.91827349789858e-06
chr3	5280161	3.382270504683381e-07	9.256500548366918e-06
chr3	5280271	3.38259407430025e-07	9.594759955796943e-06
chr3	5285286	3.761750177412189e-07	9.970934973538161e-06
chr3	5287207	3.7627114249011924e-07	1.034720611602828e-05
chr3	5289558	3.7638533638803603e-07	1.0723591452416317e-05
chr3	5290450	3.765111727121566e-07	1.1100102625128473e-05
chr3	5302341	4.15743854130032e-07	1.1515846479258506e-05
chr3	5302911	4.158447278737564e-07	1.1931691207132261e-05
chr3	5307598	4.815572121509514e-07	1.2413248419283213e-05
chr3	5309180	4.81760416536403e-07	1.2895008835819616e-05
chr3	5310024	4.818208690836422e-07	1.3376829704903258e-05
chr3	5312162	4.819036607578526e-07	1.385873336566111e-05
chr3	5312819	4.819526730238543e-07	1.4340686038684964e-05
chr3	5314243	4.820261349462498e-07	1.4822712173631213e-05
chr3	5317068	4.821067597153319e-07	1.5304818933346545e-05
chr3	5319430	4.821683871609048e-07	1.578698732050745e-05
chr3	5330719	4.822537196986238e-07	1.6269241040206074e-05
chr3	5332265	4.822972191630588e-07	1.6751538259369133e-05
chr3	5332974	4.823278684540244e-07	1.723386612782316e-05
chr3	5334775	4.823689812235055e-07	1.7716235109046663e-05
chr3	5337049	4.824236572488387e-07	1.8198658766295502e-05
chr3	5337127	4.824347180636653e-07	1.868109348435917e-05
chr3	5340428	4.824889994255635e-07	1.9163582483784733e-05
chr3	5343801	4.825374119336989e-07	1.9646119895718433e-05
chr3	5345166	4.825785379721661e-07	2.01286984336906e-05
chr3	5345191	4.825823246843555e-07	2.0611280758374956e-05
chr3	5348688	4.826400837316462e-07	2.1093920842106603e-05
chr3	5348717	4.826488265676297e-07	2.1576569668674234e-05
chr3	5349208	4.826705559523391e-07	2.2059240224626575e-05
chr3	5349336	4.826836513109089e-07	2.2541923875937484e-05
chr3	5352849	4.843914333472492e-07	2.3026315309284734e-05
chr3	5355556	4.85921446775232e-07	2.3512236756059966e-05
chr3	5357532	4.877091972385225e-07	2.399994595329849e-05
chr3	5365063	4.878156436885696e-07	2.448776159698706e-05
chr3	5367819	4.878934328832041e-07	2.4975655029870263e-05
chr3	5368801	4.880020911495668e-07	2.546365712101983e-05
chr3	5373391	5.406065224252004e-07	2.600426364344503e-05
chr3	5375206	5.473357701481149e-07	2.6551599413593146e-05
chr3	5377364	5.473909483773692e-07	2.7098990361970516e-05
chr3	5380959	5.474674937369627e-07	2.764645785570748e-05
chr3	5388544	5.475528616609031e-07	2.8194010717368384e-05
chr3	5400168	5.503556864460196e-07	2.87443664038144e-05
chr3	5403935	5.521930826181725e-07	2.9296559486432574e-05
chr3	5408302	5.522504135287737e-07	2.984880989996135e-05
chr3	5410364	5.523035641460005e-07	3.0401113464107348e-05
chr3	5411891	5.523576126405759e-07	3.095347107674792e-05
chr3	5420067	6.149246299570648e-07	3.1568395706704986e-05
chr3	5420175	6.149650673137393e-07	3.2183360774018726e-05
chr3	5426928	6.15178786298503e-07	3.279853956031723e-05
chr3	5427178	6.15219977063033e-07	3.341375953738026e-05
chr3	5428371	6.15260147245721e-07	3.402901968462598e-05
chr3	5432511	6.153267738740614e-07	3.464434645850004e-05
chr3	5434207	6.153730152695037e-07	3.5259719473769545e-05
chr3	5434345	6.153874132644303e-07	3.587510688703398e-05
chr3	5434964	6.154327881742967e-07	3.6490539675208274e-05
chr3	5436077	6.155012356365593e-07	3.7106040910844835e-05
chr3	5436345	6.155545520073565e-07	3.772159546285219e-05
chr3	5438374	6.29691531882571e-07	3.835128699473476e-05
chr3	5440984	6.298453750114419e-07	3.89811323697462e-05
chr3	5442857	6.439890669889255e-07	3.9625121436735126e-05
chr3	5447838	6.440879267955046e-07	4.026920936353063e-05
chr3	5449157	6.441350849908018e-07	4.0913344448521436e-05
chr3	5450470	6.441742515583239e-07	4.155751870007976e-05
chr3	5461226	6.530218142196383e-07	4.221054051429939e-05
chr3	5462347	6.530791858062457e-07	4.2863619700105636e-05
chr3	5462541	6.531400938667454e-07	4.351675979397238e-05
chr3	5468243	6.54288507351997e-07	4.417104830132438e-05
chr3	5469862	6.850532476744411e-07	4.485610154899882e-05
chr3	5470493	6.853891306588971e-07	4.554149067965772e-05
chr3	5475904	6.856699513473229e-07	4.622716063100505e-05
chr3	5476231	6.857354576396158e-07	4.6912896088644666e-05
chr3	5478213	6.85870780183637e-07	4.75987668688283e-05
chr3	5478865	6.861021610914186e-07	4.828486902991972e-05
chr3	5479366	6.873758192767793e-07	4.89722448491965e-05
chr3	5491322	7.008914182075074e-07	4.967313626740401e-05
chr3	5492484	7.010474153821797e-07	5.037418368278619e-05
chr3	5493089	7.013464275356326e-07	5.107553011032182e-05
chr3	5493389	7.096536725119752e-07	5.178518378283379e-05
chr3	5496096	7.169695880891574e-07	5.250215337092295e-05
chr3	5497476	7.433336519088286e-07	5.324548702283178e-05
chr3	5497517	7.43355563656273e-07	5.3988842586488054e-05
chr3	5500322	9.189762962269192e-07	5.4907818882714975e-05
chr3	5501375	9.19099313458292e-07	5.5826918196173266e-05
chr3	5503187	9.191968522084871e-07	5.674611504838175e-05
chr3	5506706	9.193460980776271e-07	5.766546114645938e-05
chr3	5508001	9.1942345575987e-07	5.8584884602219255e-05
chr3	5511975	9.195426461820696e-07	5.950442724840132e-05
chr3	5512154	9.198061045922629e-07	6.042423335299359e-05
chr3	5512860	9.203217085634421e-07	6.134455506155703e-05
chr3	5515770	9.211744049628231e-07	6.226572946651986e-05
chr3	5515986	9.241082386430491e-07	6.318983770516291e-05
chr3	5516427	9.273693362564258e-07	6.411720704141934e-05
chr3	5518671	9.275710239795349e-07	6.504477806539888e-05
chr3	5522945	9.278246507275197e-07	6.59726027161264e-05
chr3	5524470	9.27938147413097e-07	6.690054086353949e-05
chr3	5525968	9.280630430367494e-07	6.782860390657624e-05
chr3	5528884	9.282849729261856e-07	6.875688887950242e-05
