chr	pos	prob	cdf
chrX	7778693	0.0	0.0
chrX	7781813	2.2466285359203551e-10	2.2466285359203551e-10
chrX	7792613	9.560950291662286e-10	1.1807578827582642e-09
chrX	7807208	1.404732955758758e-07	1.4165405345863408e-07
chrX	7820766	1.6978037809429512e-07	3.114344315529292e-07
chrX	7825325	1.7166380200734234e-07	4.830982335602716e-07
chrX	7828738	1.9236203553289474e-07	6.754602690931663e-07
chrX	7830764	1.9327069155240474e-07	8.68730960645571e-07
chrX	7850717	1.9498166700005146e-07	1.0637126276456225e-06
chrX	7851066	1.9526877622570745e-07	1.25898140387133e-06
chrX	7851385	1.9546163525538735e-07	1.4544430391267174e-06
chrX	7855994	1.96145078880226e-07	1.6505881180069434e-06
chrX	7857428	1.9656657998474983e-07	1.8471546979916932e-06
chrX	7863368	1.9740971557009687e-07	2.0445644135617902e-06
chrX	7874503	2.098895290365875e-07	2.2544539425983777e-06
chrX	7883894	2.103803428848336e-07	2.4648342854832114e-06
chrX	7895848	2.1096066705241015e-07	2.6757949525356215e-06
chrX	7906287	2.2200336659338608e-07	2.8977983191290077e-06
chrX	7906944	2.2226087422765665e-07	3.1200591933566645e-06
chrX	7932124	2.2978162022174434e-07	3.349840813578409e-06
chrX	7938638	2.487418608484917e-07	3.5985826744269006e-06
chrX	7974954	2.513668281391388e-07	3.8499495025660395e-06
chrX	7980701	2.9158929267635645e-07	4.141538795242396e-06
chrX	7980930	2.919630421216795e-07	4.433501837364075e-06
chrX	7985438	3.1177731766017776e-07	4.745279155024252e-06
chrX	7987361	5.367805585699731e-07	5.2820597135942255e-06
chrX	7990842	5.768016313609046e-07	5.85886134495513e-06
chrX	7998134	5.781486225265355e-07	6.437009967481665e-06
chrX	8010400	5.793189263423093e-07	7.016328893823975e-06
chrX	8027988	5.886799272048499e-07	7.605008821028825e-06
chrX	8034580	6.152670076798035e-07	8.22027582870863e-06
chrX	8034993	6.156443259780051e-07	8.835920154686635e-06
chrX	8052953	6.319454657121353e-07	9.467865620398771e-06
chrX	8053206	6.320893197558124e-07	1.0099954940154583e-05
chrX	8055498	6.349728829261828e-07	1.0734927823080766e-05
chrX	8076813	6.470459640922373e-07	1.1381973787173003e-05
chrX	8083682	6.477038786613328e-07	1.2029677665834336e-05
chrX	8084603	6.479747944549162e-07	1.2677652460289251e-05
chrX	8091350	6.489561047490734e-07	1.3326608565038324e-05
chrX	8091924	6.532821521285032e-07	1.3979890717166827e-05
chrX	8101776	6.791866943822297e-07	1.4659077411549057e-05
chrX	8111437	6.807416386471567e-07	1.5339819050196213e-05
chrX	8114085	6.818232374580619e-07	1.6021642287654273e-05
chrX	8135053	7.926874054323381e-07	1.6814329693086612e-05
chrX	8141017	7.934012355583791e-07	1.760773092864499e-05
chrX	8151659	8.354558512186544e-07	1.8443186779863646e-05
chrX	8152188	8.437040887971379e-07	1.9286890868660784e-05
chrX	8161115	8.616588000039247e-07	2.0148549668664708e-05
chrX	8165019	8.663873337846997e-07	2.1014937002449408e-05
