chr	pos	prob	cdf
chr11	5233697	0.0	0.0
chr11	5246000	3.378672704301513e-09	3.378672704301513e-09
chr11	5246512	6.624507405705538e-09	1.000318011000705e-08
chr11	5247141	6.7566808528755815e-09	1.675986096288263e-08
chr11	5247726	1.5470579498228186e-08	3.223044046111081e-08
chr11	5249004	3.175557873209388e-08	6.398601919320469e-08
chr11	5255912	7.876516824693627e-08	1.4275118744014097e-07
chr11	5258162	1.6655885864820553e-07	3.093100460883465e-07
chr11	5264146	1.6700643899532473e-07	4.7631648508367127e-07
chr11	5268797	1.6714984661666742e-07	6.434663317003387e-07
chr11	5271671	1.672601516135225e-07	8.107264833138612e-07
chr11	5273541	1.6732863096361574e-07	9.78055114277477e-07
chr11	5277236	1.674322747864119e-07	1.145487389063889e-06
chr11	5279355	1.675112724397439e-07	1.3129986615036327e-06
chr11	5287156	1.6771376759384124e-07	1.480712429097474e-06
chr11	5287290	1.6781139783752233e-07	1.6485238269349963e-06
chr11	5291532	1.6818000542025932e-07	1.8167038323552556e-06
chr11	5298030	1.783382447415766e-07	1.9950420770968324e-06
chr11	5306509	1.8809116939026926e-07	2.1831332464871016e-06
chr11	5309695	1.9636636822534707e-07	2.3794996147124486e-06
chr11	5310150	1.96548096199862e-07	2.5760477109123104e-06
chr11	5312401	1.9689766645949849e-07	2.772945377371809e-06
chr11	5317553	1.971552468540815e-07	2.9701006242258904e-06
chr11	5318677	1.972762520804418e-07	3.1673768763063324e-06
chr11	5321686	1.9746967893925591e-07	3.3648465552455883e-06
chr11	5322737	2.0345729539842805e-07	3.5683038506440165e-06
chr11	5323071	2.283071499762907e-07	3.796611000620307e-06
chr11	5328361	4.5963132604535865e-07	4.256242326665666e-06
chr11	5328420	4.596552170751153e-07	4.715897543740781e-06
chr11	5328707	4.628394921410269e-07	5.178737035881808e-06
chr11	5331522	4.733934793787464e-07	5.6521305152605544e-06
chr11	5333124	4.734923326968354e-07	6.12562284795739e-06
chr11	5335599	4.7360078233256465e-07	6.5992236302899544e-06
chr11	5336998	4.73686176975955e-07	7.072909807265909e-06
chr11	5338759	4.738519611218341e-07	7.5467617683877434e-06
chr11	5341509	4.7401792486268156e-07	8.020779693250425e-06
chr11	5344592	4.797720607004845e-07	8.50055175395091e-06
chr11	5344681	4.805625343514205e-07	8.98111428830233e-06
chr11	5345128	4.82404387133523e-07	9.463518675435854e-06
chr11	5345170	4.886673397610597e-07	9.952186015196914e-06
chr11	5345486	4.91755219948173e-07	1.0443941235145086e-05
chr11	5349604	5.061687962430874e-07	1.0950110031388174e-05
chr11	5352500	5.21013701532285e-07	1.1471123732920459e-05
chr11	5352806	5.2117316629204e-07	1.1992296899212499e-05
chr11	5357048	5.388091448082621e-07	1.253110604402076e-05
chr11	5357881	5.417490079599374e-07	1.3072855051980698e-05
chr11	5360191	5.418749779606614e-07	1.3614730029941358e-05
chr11	5361272	5.420000673873285e-07	1.4156730097328687e-05
chr11	5364276	5.421482484982002e-07	1.4698878345826887e-05
chr11	5364742	5.421961886805629e-07	1.524107453450745e-05
chr11	5365428	5.422452549716984e-07	1.578331978947915e-05
chr11	5366991	5.423183908465826e-07	1.632563818032573e-05
chr11	5369851	5.42417439110004e-07	1.6868055619435735e-05
chr11	5372147	5.425084053081337e-07	1.741056402474387e-05
chr11	5372751	5.425630874019083e-07	1.7953127112145776e-05
chr11	5386668	5.42716399142859e-07	1.8495843511288634e-05
chr11	5394480	5.463182602892225e-07	1.9042161771577855e-05
chr11	5404060	5.503539561105559e-07	1.959251572768841e-05
chr11	5411580	5.504887383410935e-07	2.0143004466029506e-05
chr11	5413551	5.505674751055516e-07	2.0693571941135057e-05
chr11	5416622	5.506517202028068e-07	2.1244223661337865e-05
chr11	5431986	5.50827242141403e-07	2.1795050903479268e-05
chr11	5443190	5.51034575115475e-07	2.2346085478594742e-05
chr11	5443867	5.51122474976914e-07	2.2897207953571654e-05
chr11	5444353	5.51202020225479e-07	2.3448409973797132e-05
chr11	5451197	5.51404534559217e-07	2.399981450835635e-05
chr11	5451875	5.514768237394145e-07	2.4551291332095762e-05
chr11	5455929	5.516575178740857e-07	2.510294884996985e-05
chr11	5461263	5.518376423779908e-07	2.565478649234784e-05
chr11	5461991	5.519347714601948e-07	2.6206721263808034e-05
chr11	5462702	5.520591145650111e-07	2.6758780378373044e-05
chr11	5463425	5.521673809093389e-07	2.7310947759282382e-05
chr11	5469959	5.524696485358603e-07	2.786341740781824e-05
chr11	5470716	5.526768474680339e-07	2.8416094255286275e-05
chr11	5470990	5.661807319288164e-07	2.898227498721509e-05
chr11	5471746	6.067672189589989e-07	2.958904220617409e-05
chr11	5475118	6.070099807002062e-07	3.0196052186874295e-05
chr11	5475506	6.070696706007604e-07	3.0803121857475055e-05
chr11	5477390	6.071582392771746e-07	3.141028009675223e-05
chr11	5479891	6.072509168002036e-07	3.2017531013552433e-05
chr11	5480444	6.073012447872381e-07	3.262483225833967e-05
chr11	5481963	6.073804696633414e-07	3.323221272800301e-05
chr11	5484136	6.074799681264236e-07	3.383969269612943e-05
chr11	5488533	6.075873688764764e-07	3.4447280065005906e-05
chr11	5488840	6.076248685660321e-07	3.505490493357194e-05
chr11	5491568	6.077120343994225e-07	3.566261696797136e-05
chr11	5493557	6.078034508137462e-07	3.62704204187851e-05
chr11	5496318	6.127222753675943e-07	3.6883142694152697e-05
chr11	5496811	6.151987050012242e-07	3.749834139915392e-05
chr11	5506034	6.153153697322901e-07	3.811365676888621e-05
chr11	5506470	6.153558349608988e-07	3.8729012603847106e-05
chr11	5509689	6.154466958945036e-07	3.9344459299741606e-05
chr11	5510688	6.154963484793944e-07	3.9959955648221e-05
chr11	5512590	6.155744473865133e-07	4.0575530095607516e-05
chr11	5514892	6.182718983119458e-07	4.119380199391946e-05
chr11	5517485	6.210841905428231e-07	4.181488618446228e-05
chr11	5518911	6.232546264583061e-07	4.243814081092059e-05
chr11	5518978	6.232727039749704e-07	4.306141351489556e-05
chr11	5528177	6.234155084985133e-07	4.368482902339408e-05
chr11	5528633	6.234596186538418e-07	4.430828864204792e-05
chr11	5528918	6.235166466450581e-07	4.493180528869298e-05
chr11	5529139	6.235791986858995e-07	4.555538448737888e-05
chr11	5529152	6.235901298859104e-07	4.6178974617264786e-05
chr11	5533402	7.844526622421294e-07	4.696342727950691e-05
chr11	5533606	7.845295402014501e-07	4.774795681970836e-05
chr11	5534114	7.845863598003314e-07	4.853254317950869e-05
chr11	5535007	7.846913620403441e-07	4.931723454154903e-05
chr11	5539139	7.848503908492779e-07	5.010208493239831e-05
chr11	5539670	7.848987470315163e-07	5.088698367942982e-05
chr11	5539810	7.849237411889684e-07	5.167190742061879e-05
chr11	5541179	7.850266845333333e-07	5.245693410515212e-05
chr11	5543705	7.852131873396084e-07	5.324214729249173e-05
chr11	5546722	8.29666382534747e-07	5.407181367502648e-05
chr11	5547530	8.299031872186881e-07	5.4901716862245165e-05
chr11	5547957	8.300563113403216e-07	5.5731773173585484e-05
chr11	5550630	8.302566314358115e-07	5.6562029805021296e-05
chr11	5554825	8.30488609186415e-07	5.739251841420771e-05
chr11	5555043	8.305895643209689e-07	5.822310797852868e-05
chr11	5555218	8.306684622211501e-07	5.905377644074983e-05
chr11	5555551	8.307511782066283e-07	5.988452761895646e-05
chr11	5561005	8.41017605134715e-07	6.0725545224091175e-05
chr11	5565628	8.47385817805469e-07	6.157293104189664e-05
chr11	5565906	8.490293850709151e-07	6.242196042696756e-05
chr11	5566030	8.491139322195743e-07	6.327107435918714e-05
chr11	5566051	8.491374316627773e-07	6.412021179084992e-05
chr11	5566112	8.491547069082195e-07	6.496936649775813e-05
chr11	5566365	8.491933185588938e-07	6.581855981631703e-05
chr11	5566489	8.492175660973177e-07	6.666777738241434e-05
chr11	5566789	8.501952234253413e-07	6.751797260583968e-05
chr11	5569452	8.524495887734624e-07	6.837042219461314e-05
chr11	5570771	8.541190527146284e-07	6.922454124732777e-05
chr11	5573580	8.565861528559931e-07	7.008112740018377e-05
chr11	5577421	8.566962646821028e-07	7.093782366486587e-05
chr11	5578343	8.567452348039213e-07	7.17945688996698e-05
chr11	5581076	8.593086909215404e-07	7.265387759059134e-05
chr11	5583533	8.618249816476374e-07	7.351570257223898e-05
chr11	5584496	8.649838146920536e-07	7.438068638693103e-05
chr11	5585716	8.773652272913963e-07	7.525805161422243e-05
chr11	5585744	8.779939947826658e-07	7.61360456090051e-05
chr11	5586252	8.854509333176645e-07	7.702149654232277e-05
chr11	5588174	8.856744761382654e-07	7.790717101846103e-05
chr11	5589862	8.858919304373432e-07	7.879306294889838e-05
chr11	5590525	8.859825600796106e-07	7.967904550897798e-05
chr11	5591634	8.860604004056919e-07	8.056510590938368e-05
chr11	5594093	8.862096558655182e-07	8.14513155652492e-05
chr11	5597130	8.862952373473162e-07	8.233761080259651e-05
chr11	5597633	8.863460771931256e-07	8.322395687978964e-05
chr11	5598864	8.864186176291294e-07	8.411037549741877e-05
chr11	5600486	8.865024584641165e-07	8.499687795588289e-05
chr11	5602438	8.86581133551518e-07	8.588345908943441e-05
chr11	5602790	8.866283045750848e-07	8.67700873940095e-05
chr11	5602968	8.866578267288545e-07	8.765674522073835e-05
chr11	5603136	8.867219533269291e-07	8.854346717406528e-05
chr11	5608274	8.873178512926105e-07	8.94307850253579e-05
chr11	5614275	1.1118439709485352e-06	9.054262899630643e-05
chr11	5617896	1.1349532554787255e-06	9.167758225178515e-05
chr11	5617987	1.1361322989091985e-06	9.281371455069435e-05
chr11	5618417	1.136192007700486e-06	9.394990655839483e-05
chr11	5619008	1.136350166358412e-06	9.508625672475325e-05
chr11	5622301	1.1366002139166759e-06	9.622285693866993e-05
chr11	5625603	1.15332516988603e-06	9.737618210855596e-05
chr11	5625713	1.1533699279061913e-06	9.852955203646215e-05
chr11	5625847	1.153417449227458e-06	9.96829694856896e-05
chr11	5626241	1.1534565009060568e-06	0.00010083642598659566
